,site_id,latitude,longitude,temp_mean,humidity_mean,ws_mean
0,1001,-37.80077984,144.9664979,16.84,59.59,3.42
1,1002,-37.80051084,144.9641279,15.88,67.08,7.31
2,1003,-37.80228684,144.960929,16.01,68.23,4.45
3,1004,-37.80056184,144.9646409,15.68,66.85,6.77
4,1005,-37.80061584,144.9650579,15.26,66.82,6.11
5,1007,-37.82244684,144.9518409,13.71,66.79,4.1
6,1009,-37.81685447,144.9657107,11.22,67.43,4.57
7,1010,-37.82248686,144.9522279,10.81,68.24,5.34
8,1011,-37.82220884,144.9522279,11.34,74.59,6.75
9,1012,-37.81331984,144.970006,12.76,66.39,9.48
10,1013,-37.81193084,144.956395,15.11,73.52,10.92
11,1014,-37.81748684,144.967228,11.67,67.23,1.1
12,1015,-37.81026484,144.972506,9.24,80.39,5.14
13,1016,-37.81276484,144.960562,11.82,62.32,6.92
