Mode,OBJECTID,STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,TICKETZONE,ROUTES_USING_STOP,SHAPE,SE_ANNO_CAD_DATA
TRAM,418,18079,38-Jacobs Reserve/Melville Rd (Brunswick West),-37.7566,144.9454,1,58,POINT (-37.75662297 144.94538484),
TRAM,419,18080,39-Mattingley Cres/Melville Rd (Brunswick West),-37.7548,144.9457,1,58,POINT (-37.75480002 144.94570812),
TRAM,420,18081,40-Moreland Rd/Melville Rd (Brunswick West),-37.7532,144.9459,1,58,POINT (-37.75316301 144.94590108),
TRAM,421,18082,41-Woodlands Ave/Melville Rd (Pascoe Vale South),-37.7493,144.9466,1,58,POINT (-37.74931704 144.94655196),
TRAM,422,18083,42-Reynard St/Melville Rd (Pascoe Vale South),-37.7464,144.9446,1,58,POINT (-37.74639897 144.94455612),
TRAM,423,18084,43-Princes Tce/Melville Rd (Pascoe Vale South),-37.7439,144.945,1,58,POINT (-37.74392802 144.94499892),
TRAM,424,18085,44-Brearley Pde/Melville Rd (Pascoe Vale South),-37.7416,144.9454,1,58,POINT (-37.74159198 144.94540392),
TRAM,425,18086,45-Bell St/Melville Rd (Pascoe Vale South),-37.7401,144.9456,1,58,POINT (-37.74011697 144.94559184),
TRAM,426,18087,3-Market St/Flinders St (Melbourne City),-37.8191,144.9618,1,"70,75,35",POINT (-37.81906299 144.96179688),
TRAM,427,18089,4-Elizabeth St/Flinders St (Melbourne City),-37.8182,144.9646,1,"70,75,35",POINT (-37.81823796 144.96462612),
TRAM,428,18090,5-Swanston St/Flinders St (Melbourne City),-37.8176,144.9671,1,"70,75,35",POINT (-37.81755999 144.96713208),
TRAM,429,18091,6-Russell St/Flinders St (Melbourne City),-37.8166,144.9705,1,"70,75,35",POINT (-37.81656396 144.97049988),
TRAM,430,18092,8-Spring St/Flinders St (Melbourne City),-37.8153,144.9746,1,"75,35",POINT (-37.81531899 144.97461216),
TRAM,431,18093,9-Lansdowne St/Wellington Pde (East Melbourne),-37.8155,144.9772,1,"75,48",POINT (-37.815453 144.97716384),
TRAM,432,18094,10-Jolimont Rd/Wellington Pde (East Melbourne),-37.8158,144.9798,1,"75,48",POINT (-37.81575 144.97979112),
TRAM,433,18095,11-Jolimont Station-MCG/Wellington Pde (East Melbourne),-37.8163,144.9848,1,"75,48",POINT (-37.81634103 144.98481888),
TRAM,434,18097,13-Simpson St/Wellington Pde (East Melbourne),-37.8165,144.987,1,"75,48",POINT (-37.81654002 144.98698284),
TRAM,435,18098,14-Punt Rd/Wellington Pde (Melbourne City),-37.8174,144.9897,1,"75,48",POINT (-37.817388 144.98967492),
TRAM,436,18099,14-Punt Rd/Bridge Rd (Richmond),-37.8175,144.9902,1,"75,48",POINT (-37.81753299 144.99021708),
TRAM,437,18100,13-Simpson St/Wellington Pde (East Melbourne),-37.8166,144.987,1,"75,48",POINT (-37.81660302 144.98696988),
