Mode,OBJECTID,STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,TICKETZONE,ROUTES_USING_STOP,SHAPE,SE_ANNO_CAD_DATA,In City Of Melbourne
TRAM,426,18087,3-Market St/Flinders St (Melbourne City),-37.8191,144.9618,1,"70,75,35",POINT (-37.81906299 144.96179688),,True
TRAM,427,18089,4-Elizabeth St/Flinders St (Melbourne City),-37.8182,144.9646,1,"70,75,35",POINT (-37.81823796 144.96462612),,True
TRAM,428,18090,5-Swanston St/Flinders St (Melbourne City),-37.8176,144.9671,1,"70,75,35",POINT (-37.81755999 144.96713208),,True
TRAM,429,18091,6-Russell St/Flinders St (Melbourne City),-37.8166,144.9705,1,"70,75,35",POINT (-37.81656396 144.97049988),,True
TRAM,430,18092,8-Spring St/Flinders St (Melbourne City),-37.8153,144.9746,1,"75,35",POINT (-37.81531899 144.97461216),,True
TRAM,431,18093,9-Lansdowne St/Wellington Pde (East Melbourne),-37.8155,144.9772,1,"75,48",POINT (-37.815453 144.97716384),,True
TRAM,432,18094,10-Jolimont Rd/Wellington Pde (East Melbourne),-37.8158,144.9798,1,"75,48",POINT (-37.81575 144.97979112),,True
TRAM,433,18095,11-Jolimont Station-MCG/Wellington Pde (East Melbourne),-37.8163,144.9848,1,"75,48",POINT (-37.81634103 144.98481888),,True
TRAM,434,18097,13-Simpson St/Wellington Pde (East Melbourne),-37.8165,144.987,1,"75,48",POINT (-37.81654002 144.98698284),,True
TRAM,435,18098,14-Punt Rd/Wellington Pde (Melbourne City),-37.8174,144.9897,1,"75,48",POINT (-37.817388 144.98967492),,True
TRAM,437,18100,13-Simpson St/Wellington Pde (East Melbourne),-37.8166,144.987,1,"75,48",POINT (-37.81660302 144.98696988),,True
TRAM,438,18102,11-Jolimont Station-MCG/Wellington Pde (East Melbourne),-37.8162,144.984,1,"75,48",POINT (-37.81624599 144.98399196),,True
TRAM,439,18103,10-Jolimont Rd/Wellington Pde (East Melbourne),-37.8158,144.9793,1,"75,48",POINT (-37.81576899 144.97932492),,True
TRAM,440,18104,9-Lansdowne St/Wellington Pde (Melbourne City),-37.8155,144.9767,1,"75,48",POINT (-37.815471 144.97666416),,True
TRAM,441,18105,8-Spring St/Flinders St (Melbourne City),-37.8155,144.9742,1,"75,35",POINT (-37.81553697 144.97417404),,True
TRAM,442,18108,7B-Rod Laver Arena/MCG Gates 1-3 (Melbourne City),-37.8196,144.9791,1,70,POINT (-37.81958697 144.97913016),,True
TRAM,443,18116,7C-MCG Gates 4-7/John Cain Arena (Melbourne City),-37.8224,144.9835,1,70,POINT (-37.82238399 144.98353008),,True
TRAM,444,18118,7D-Olympic Boulevard (Melbourne City),-37.8241,144.9869,1,70,POINT (-37.82413503 144.98685684),,True
TRAM,445,18155,7D-Olympic Boulevard (Melbourne City),-37.8238,144.9868,1,70,POINT (-37.82382696 144.986751),,True
